,ID,Name,Frequency [MHz],Bandwidth [kHz]/Baud,Status,Description,Source,Orbit
0,43466,1KUNS-PF,437.3015,1200.0,inactive,Telemetry (drifting),SatNOGS,None
1,43466,1KUNS-PF,437.3,1200.0,inactive,TLM GMSK,SatNOGS,None
2,43466,1KUNS-PF,437.3,9600.0,inactive,TLM GMSK 9k6,SatNOGS,None
3,44316,2019-032G - Unknown Satellite,401.305,None,active,Downlink,SatNOGS,None
4,44842,2019-087E - Unknown Satellte,401.687,None,inactive,Downlink,SatNOGS,None
5,44884,2019-093F,401.546,None,active,Mode U,SatNOGS,None
6,57183,2023-091T,435.05,62500.0,active,Mode U - LoRa 62.5k,SatNOGS,None
7,49324,21091K Unknown Sat 2,435.775,6666.0,inactive,Mode U - BPSK 6666,SatNOGS,None
8,57582,23117C,400.45,9600.0,active,Mode U - Transmitter,SatNOGS,None
9,58555,23193C,401.612,None,active,Mode U - Transmitter,SatNOGS,None
10,64881,239Alferov,10473.35,None,active,Mode X - DVB-S2,SatNOGS,None
11,64881,239Alferov,436.27,9600.0,active,Mode U - GFSK9k6 - AX.25 Beacon and Telemetry (Geoscan framing),SatNOGS,None
12,58923,24024G,2246.4,None,active,Mode S - Transmitter,SatNOGS,None
13,60235,24128A,2235.0,200000.0,invalid,S-band telemetry,SatNOGS,None
14,60745,24153A,400.055,None,active,Mode U - Transmitter,SatNOGS,None
15,60745,24153A,400.455,None,active,Mode U - Transmitter,SatNOGS,None
16,47961,3B5GSAT,399.975,None,inactive,Downlink 1,SatNOGS,None
17,47961,3B5GSAT,400.55,None,inactive,Possible downlink,SatNOGS,None
18,47961,3B5GSAT,1521.54,None,inactive,Mode L - Possible,SatNOGS,None
19,47961,3B5GSAT,2180.44,None,inactive,Mode S - Possible,SatNOGS,None
20,47961,3B5GSAT,2261.5,200000.0,inactive,S-band telemetry,SatNOGS,None
21,47961,3B5GSAT,400.57,None,inactive,Downlink 2,SatNOGS,None
22,43728,3CAT-1,437.25,None,inactive,CW Beacon,SatNOGS,None
23,43728,3CAT-1,437.25,9600.0,inactive,FSK9k6 TLM,SatNOGS,None
24,41732,3CAT-2,145.97,9600.0,inactive,Mode V Telemetry,SatNOGS,None
25,41732,3CAT-2,2401.0,None,inactive,Mode S Telemetry (115200),SatNOGS,None
26,60236,3CAT-4,437.35,14400.0,active,Mode U - GMSK14k4,"SatNOGS, Space-Track",LEO
27,46292,3CAT-5/A (TYVAK-0161),None,None,Active,None,Space-Track,LEO
28,46292,"3CAT-5/A, FSSCat A",401.337,None,active,Downlink,SatNOGS,None
29,46293,3CAT-5/B (TYVAK-0162),None,None,Active,None,Space-Track,LEO
30,46293,"3CAT-5/B, FSSCat B",401.377,None,active,Downlink,SatNOGS,None
31,1778,A-1 (ASTERIX),None,None,Active,None,Space-Track,MEO
32,57197,A-SEANSAT-PG1,401.633828,2400.0,active,Mode U - GMSK 2k4 USP FEC,"SatNOGS, Space-Track",LEO
33,57197,A-SEANSAT-PG1,401.523,2400.0,active,Mode U - GMSK 2k4 USP FEC,"SatNOGS, Space-Track",LEO
34,57197,A-SEANSAT-PG1,400.575,None,invalid,Mode U - Transmitter,"SatNOGS, Space-Track",LEO
35,57197,A-SEANSAT-PG1,401.5,None,invalid,Mode U - Transmitter,"SatNOGS, Space-Track",LEO
36,55107,AAC-AIS-SAT-1,None,None,Active,None,Space-Track,MEO
37,56996,AAC-AIS-SAT2,2241.0,120000.0,active,S-band telemetry,"SatNOGS, Space-Track",MEO
38,58997,AAC-AIS-SAT3,2241.0,40000.0,active,S-band telemetry,"SatNOGS, Space-Track",MEO
39,56225,AAC-HSI-SAT1,None,None,Active,None,Space-Track,LEO
40,56995,AAC-HSI-SAT2,None,None,Active,None,Space-Track,LEO
41,58848,AAC-HSI-SAT3,None,None,Active,None,Space-Track,LEO
42,42775,AALTO-1,437.22,9600.0,invalid,GFSK9k6,SatNOGS,None
43,42775,AALTO-1,437.22,None,inactive,TLM CW,SatNOGS,None
44,42775,AALTO-1,437.22,9600.0,inactive,GFSK9600,SatNOGS,None
45,42775,AALTO-1,2402.0,1600000.0,inactive,S-Band downlink (TI CC1125),SatNOGS,None
46,42729,AALTO-2,437.335,9600.0,inactive,TLM GFSK,SatNOGS,None
47,27846,AAU CUBESAT,None,None,Active,None,Space-Track,MEO
48,39087,AAUSAT 3,437.425,None,active,Mode 4800bps FSK CW,SatNOGS,None
49,41460,AAUSAT 4,437.424,2400.0,inactive,"Mode U TLM (default, drifting)",SatNOGS,None
50,41460,AAUSAT 4,437.424,9600.0,inactive,Mode U TLM,SatNOGS,None
51,41460,AAUSAT 4,437.425,None,inactive,Mode U Beacon,SatNOGS,None
52,40948,AAUSAT 5,437.425,1200.0,inactive,1k2 GMSK TLM,SatNOGS,None
53,40948,AAUSAT 5,437.425,None,inactive,CW TLM,SatNOGS,None
54,40948,AAUSAT 5,437.425,9600.0,inactive,9k6 GMSK TLM,SatNOGS,None
55,40948,AAUSAT 5,437.425,4800.0,inactive,4k8 BFSK TLM,SatNOGS,None
56,32788,AAUSAT-II,437.4295,1200.0,invalid,PE0SAT - 1k2 MSK TLM,SatNOGS,None
57,32788,AAUSAT-II,437.425,1200.0,inactive,Mode U 1k2 AFSK TLM,SatNOGS,None
58,39087,AAUSAT3,None,None,Active,None,Space-Track,MEO
59,23768,ABS 1A (KOREASAT 2),None,None,Active,None,Space-Track,GEO
60,39508,ABS 2,None,None,Active,None,Space-Track,GEO
61,41588,ABS 2A,None,None,Active,None,Space-Track,GEO
62,24901,ABS 3 (AGILA 2),None,None,Active,None,Space-Track,GEO
63,40424,ABS 3A,None,None,Active,None,Space-Track,GEO
64,28184,ABS 4 (MBSAT),None,None,Active,None,Space-Track,GEO
65,25924,ABS 6 (LMI 1),None,None,Active,None,Space-Track,GEO
66,25894,ABS 7 (KOREASAT 3),None,None,Active,None,Space-Track,GEO
67,24912,ACE,None,None,Active,HELIOCENTRIC ORBIT (SUN),Space-Track,None
68,26033,ACRIMSAT,None,None,Active,None,Space-Track,MEO
69,44369,ACRUX-1,437.425,9600.0,inactive,MODE U GFSK9k6 AX.25 - Factory Setting,SatNOGS,None
70,44369,ACRUX-1,437.2,9600.0,inactive,MODE U GFSK9k6 AX.25,SatNOGS,None
71,59588,ACS 3,None,None,Active,None,Space-Track,MEO
72,59588,ACS3,2268.0,400000.0,active,Mode S - NanoAvionics,SatNOGS,None
73,59588,ACS3,401.5,2400.0,active,Mode U - NanoAvionics,SatNOGS,None
74,22796,ACTS,None,None,Active,None,Space-Track,GEO
75,98574,ADDCUBE,435.5,None,active,Mode U - Transmitter,SatNOGS,None
76,98574,ADDCUBE,2412.0,None,active,Mode S - Transmitter,SatNOGS,None
77,24277,ADEOS,None,None,Active,None,Space-Track,MEO
78,27597,ADEOS 2,None,None,Active,None,Space-Track,MEO
79,58992,ADRAS-J,None,None,Active,None,Space-Track,LEO
80,62006,ADS-01,None,None,Active,None,Space-Track,GEO
81,62649,AE1c,8340.0,None,active,Mode X - Transmitter,"SatNOGS, Space-Track",LEO
82,62649,AE1c,922.0,None,active,Mode U - Transmitter,"SatNOGS, Space-Track",LEO
83,62649,AE1c,2277.3,None,active,Mode S - Transmitter,"SatNOGS, Space-Track",LEO
84,62649,AE1c,2228.0,None,active,Mode S - Transmitter,"SatNOGS, Space-Track",LEO
85,62618,AE1d,922.0,None,active,Mode U - Transmitter,"SatNOGS, Space-Track",LEO
86,62618,AE1d,8340.0,None,active,Mode X - Transmitter,"SatNOGS, Space-Track",LEO
87,62618,AE1d,2228.0,None,active,Mode S - Transmitter,"SatNOGS, Space-Track",LEO
88,62618,AE1d,2277.3,None,active,Mode S - Transmitter,"SatNOGS, Space-Track",LEO
89,64591,AE2A,None,None,Active,None,Space-Track,MEO
90,64563,AE3VA,None,None,Active,None,Space-Track,MEO
91,36868,AEHF 1 (USA 214),None,None,Active,None,Space-Track,GEO
92,38254,AEHF 2 (USA 235),None,None,Active,None,Space-Track,GEO
93,39256,AEHF 3 (USA 246),None,None,Active,None,Space-Track,GEO
