ntc_id, adm, stn_name, ctry, lat_dec, long_dec, notice_type, notification_reason, d_rcv, emi_rcp, freq_from, freq_to
90505044, NOR, HARESTUA OBS, NOR, 60.217, 10.75, R, N, 01.02.1954, R, 199.5, 200.5
90505044, NOR, HARESTUA OBS, NOR, 60.217, 10.75, R, N, 01.02.1954, R, 224.25, 225.75
90505044, NOR, HARESTUA OBS, NOR, 60.217, 10.75, R, N, 01.02.1954, R, 300, 340
90505076, USA, HAMILTON MASS, USA, 42.633, -70.817, R, N, 01.01.1958, R, 609, 612.5
90505076, USA, HAMILTON MASS, USA, 42.633, -70.817, R, N, 01.01.1958, R, 1411, 1419
90505076, USA, HAMILTON MASS, USA, 42.633, -70.817, R, N, 01.01.1958, R, 1419.5, 1420.5
90505076, USA, HAMILTON MASS, USA, 42.633, -70.817, R, N, 01.01.1958, R, 1666.5, 1667.5
90505076, USA, HAMILTON MASS, USA, 42.633, -70.817, R, N, 01.01.1958, R, 2695, 2705
90505080, USA, MARYLANDPNT MD, USA, 38.367, -77.233, R, N, 01.11.1958, R, 1406.905, 1433.905
90505080, USA, MARYLANDPNT MD, USA, 38.367, -77.233, R, N, 01.11.1958, R, 10680, 10700
90505080, USA, MARYLANDPNT MD, USA, 38.367, -77.233, R, N, 01.11.1958, R, 15365, 15385
90505080, USA, MARYLANDPNT MD, USA, 38.367, -77.233, R, N, 01.11.1958, R, 19300, 19400
90505071, USA, FT DAVIS TEX, USA, 30.633, -103.95, R, N, 06.01.1959, R, 25, 25.01
90505071, USA, FT DAVIS TEX, USA, 30.633, -103.95, R, N, 06.01.1959, R, 38, 38.16
90505071, USA, FT DAVIS TEX, USA, 30.633, -103.95, R, N, 06.01.1959, R, 73, 74.6
90505071, USA, FT DAVIS TEX, USA, 30.633, -103.95, R, N, 06.01.1959, R, 4900, 5100
90505057, S, KIRUNA, S, 67.833, 20.417, R, N, 01.06.1960, R, 27.585, 27.615
90505057, S, KIRUNA, S, 67.833, 20.417, R, N, 01.06.1960, R, 49.95, 50.05
90505031, HOL, NEDERHORSTBERG, HOL, 52.233, 5.083, R, N, 01.01.1961, R, 199.675, 200.325
90505031, HOL, NEDERHORSTBERG, HOL, 52.233, 5.083, R, N, 01.01.1961, R, 609.5, 610.5
90505052, RUS, NIRFI ZIMENKY, RUS, 56.3, 43.95, R, N, 01.01.1962, R, 149.95, 152.9
90505052, RUS, NIRFI ZIMENKY, RUS, 56.3, 43.95, R, N, 01.01.1962, R, 322, 328.6
90505052, RUS, NIRFI ZIMENKY, RUS, 56.3, 43.95, R, N, 01.01.1962, R, 406.1, 410
90505052, RUS, NIRFI ZIMENKY, RUS, 56.3, 43.95, R, N, 01.01.1962, R, 608, 614
90505052, RUS, NIRFI ZIMENKY, RUS, 56.3, 43.95, R, N, 01.01.1962, R, 1330, 1427
90505052, RUS, NIRFI ZIMENKY, RUS, 56.3, 43.95, R, N, 01.01.1962, R, 1610.6, 1613.8
90505052, RUS, NIRFI ZIMENKY, RUS, 56.3, 43.95, R, N, 01.01.1962, R, 1660, 1670
